IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2016,TRUE,Residence Area Type,Rural,RUR,24.86,22.34,28,24.86 [22.34 – 28],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.05,16.59,39.35,25.05 [16.59 – 39.35],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,BWA,Botswana,Year,2016,TRUE,Residence Area Type,Urban,URB,25.05,17.42,37.76,25.05 [17.42 – 37.76],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZAF,South Africa,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.15,21.6,34.17,25.15 [21.6 – 34.17],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SRB,Serbia,Year,2016,TRUE,Residence Area Type,Urban,URB,25.15,23.36,28.49,25.15 [23.36 – 28.49],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,BWA,Botswana,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.16,17.75,37.45,25.16 [17.75 – 37.45],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.18,15.94,42.19,25.18 [15.94 – 42.19],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,TRUE,Residence Area Type,Rural,RUR,25.18,16.76,40.31,25.18 [16.76 – 40.31],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,BWA,Botswana,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.18,18.01,38.35,25.18 [18.01 – 38.35],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,HND,Honduras,Year,2016,TRUE,Residence Area Type,Urban,URB,25.41,19.06,35.66,25.41 [19.06 – 35.66],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRB,Barbados,Year,2016,TRUE,Residence Area Type,Urban,URB,25.42,12.51,52.96,25.42 [12.51 – 52.96],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.45,16,42.58,25.45 [16 – 42.58],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,HND,Honduras,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.47,19.6,34.76,25.47 [19.6 – 34.76],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,HND,Honduras,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.51,19.62,33.94,25.51 [19.62 – 33.94],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2016,TRUE,Residence Area Type,Urban,URB,25.6,17.26,41.67,25.6 [17.26 – 41.67],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Residence Area Type,Total,TOTL,25.62,15.19,47.15,25.62 [15.19 – 47.15],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.69,23.29,28.91,25.69 [23.29 – 28.91],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.83,15.37,47.38,25.83 [15.37 – 47.38],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,LSO,Lesotho,Year,2016,TRUE,Residence Area Type,Urban,URB,25.84,18.39,37.52,25.84 [18.39 – 37.52],,,EN,2021-05-06T23:00:00.000Z
