,year,Type,%
224,2013,Coal ,36.65233724993475
225,2013,Gas ,26.96876144119315
226,2013,Hydro ,1.3228914292950895
227,2013,Solar ,0.5656270218463698
228,2013,Wind ,7.990488654187242
229,2013,Oil ,1.5375173886297162
230,2013,Nuclear ,19.86773514057703
231,2013,Other renewables ,5.094641674336897
232,2014,Coal ,29.90270367407789
233,2014,Gas ,30.097801073322174
234,2014,Hydro ,1.7563950630454013
235,2014,Solar ,1.2093920723275615
236,2014,Wind ,9.533914401403887
237,2014,Oil ,1.7343231036070457
238,2014,Nuclear ,19.01692508719278
239,2014,Other renewables ,6.748545525023527
240,2015,Coal ,22.62678029177876
241,2015,Gas ,29.78270781945523
242,2015,Hydro ,1.877836710963118
243,2015,Solar ,2.2462893927339733
244,2015,Wind ,12.009864254159028
245,2015,Oil ,1.98962330946302
246,2015,Nuclear ,20.976750303139767
247,2015,Other renewables ,8.490147918307306
248,2016,Coal ,9.159714786603631
249,2016,Gas ,42.81580488131356
250,2016,Hydro ,1.610985789882653
251,2016,Solar ,3.108507784192814
252,2016,Wind ,11.096975442283194
253,2016,Oil ,2.2285057025995774
254,2016,Nuclear ,21.422251623585147
255,2016,Other renewables ,8.557253989539698
256,2017,Coal ,6.76119933036584
257,2017,Gas ,41.036284308380104
258,2017,Hydro ,1.7710094177595288
259,2017,Solar ,3.443688391438517
260,2017,Wind ,14.894467385353947
261,2017,Oil ,1.9747476683520957
262,2017,Nuclear ,21.10737699018043
263,2017,Other renewables ,9.011226508169813
264,2018,Coal ,5.1277084216676165
265,2018,Gas ,40.058527040835216
266,2018,Hydro ,1.6724699126492657
267,2018,Solar ,3.9170081713347584
268,2018,Wind ,17.335863368614113
269,2018,Oil ,2.049886211079133
270,2018,Nuclear ,19.821783522242715
271,2018,Other renewables ,10.016753351577416
272,2019,Coal ,2.172389805070039
273,2019,Gas ,41.086135785167116
274,2019,Hydro ,1.833483941055772
275,2019,Solar ,4.059255892554963
276,2019,Wind ,20.195391705580622
277,2019,Oil ,2.1245472714083635
278,2019,Nuclear ,17.894718676313357
279,2019,Other renewables ,10.634076922850037
280,2020,Coal ,1.7411054746689574
281,2020,Gas ,36.55035212071639
282,2020,Hydro ,2.159324113910828
283,2020,Solar ,4.3714588481874515
284,2020,Wind ,24.150983695881052
285,2020,Oil ,2.4501224183861803
286,2020,Nuclear ,16.96283039802891
287,2020,Other renewables ,11.613822930220525
