Solomon Islands,SLB,GDP per capita (current US$),2411.862926
Sierra Leone,SLE,GDP per capita (current US$),533.9915333
El Salvador,SLV,GDP per capita (current US$),4052.624775
San Marino,SMR,GDP per capita (current US$),48996.59225
Somalia,SOM,GDP per capita (current US$),314.542678
Serbia,SRB,GDP per capita (current US$),7252.401858
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1624.772997
South Sudan,SSD,GDP per capita (current US$),
Sub-Saharan Africa,SSF,GDP per capita (current US$),1626.062479
Small states,SST,GDP per capita (current US$),13001.15869
Sao Tome and Principe,STP,GDP per capita (current US$),1953.513257
Suriname,SUR,GDP per capita (current US$),6938.086981
Slovak Republic,SVK,GDP per capita (current US$),19380.51351
Slovenia,SVN,GDP per capita (current US$),26104.10279
Sweden,SWE,GDP per capita (current US$),54589.06039
Eswatini,SWZ,GDP per capita (current US$),4105.893683
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),29160.10381
Seychelles,SYC,GDP per capita (current US$),15994.81986
Syrian Arab Republic,SYR,GDP per capita (current US$),1268.235849
Turks and Caicos Islands,TCA,GDP per capita (current US$),29553.1367
Chad,TCD,GDP per capita (current US$),726.1510071
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),8012.14971
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),8876.153964
Togo,TGO,GDP per capita (current US$),901.5230169
Thailand,THA,GDP per capita (current US$),7296.879608
Tajikistan,TJK,GDP per capita (current US$),853.2188734
Turkmenistan,TKM,GDP per capita (current US$),6967.375043
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8743.527883
Timor-Leste,TLS,GDP per capita (current US$),1249.138351
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3446.056905
Tonga,TON,GDP per capita (current US$),4740.700272
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),1894.008884
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1626.062479
Trinidad and Tobago,TTO,GDP per capita (current US$),17037.86236
Tunisia,TUN,GDP per capita (current US$),3680.892597
Turkey,TUR,GDP per capita (current US$),9454.348443
Tuvalu,TUV,GDP per capita (current US$),3701.709255
Tanzania,TZA,GDP per capita (current US$),1042.838759
Uganda,UGA,GDP per capita (current US$),770.6007843
Ukraine,UKR,GDP per capita (current US$),3096.817402
Upper middle income,UMC,GDP per capita (current US$),9468.932983
Uruguay,URY,GDP per capita (current US$),18703.86029
United States,USA,GDP per capita (current US$),63064.41841
Uzbekistan,UZB,GDP per capita (current US$),1597.068337
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),7361.400962
"Venezuela, RB",VEN,GDP per capita (current US$),
British Virgin Islands,VGB,GDP per capita (current US$),
Virgin Islands (U.S.),VIR,GDP per capita (current US$),36448.25749
Vietnam,VNM,GDP per capita (current US$),2566.447487
Vanuatu,VUT,GDP per capita (current US$),3125.404999
World,WLD,GDP per capita (current US$),11345.18035
Samoa,WSM,GDP per capita (current US$),4187.504729
Kosovo,XKX,GDP per capita (current US$),4384.048892
"Yemen, Rep.",YEM,GDP per capita (current US$),758.1452416
South Africa,ZAF,GDP per capita (current US$),7005.095413
Zambia,ZMB,GDP per capita (current US$),1516.368371
Zimbabwe,ZWE,GDP per capita (current US$),1254.642265
